[ 0.1520638   0.12335697]
[ 0.14914307  0.1181117 ]
[ 0.31307083  0.18924604]
[ 0.31307083  0.18924604]
[ 0.39127718  0.27145984]
[ 0.39127718  0.27145984]
[ 0.39127718  0.27145984]
[ 0.37690306  0.23714894]
[ 0.37690306  0.23714894]
[ 0.55664182  0.45827911]
[ 0.55664182  0.45827911]
[ 0.56575355  0.46184283]
[ 0.60498544  0.63670266]
[ 0.60498544  0.63670266]
[ 0.64938697  0.77321074]
[ 0.64938697  0.77321074]
[ 0.64938697  0.77321074]
[ 0.72275136  0.71874403]
[ 0.72275136  0.71874403]
[ 0.60293309  0.8860325 ]
[ 0.60293309  0.8860325 ]
[ 0.57372716  0.86784858]
[ 0.45997159  0.99550479]
[ 0.45997159  0.99550479]
[ 0.39021355  1.07904177]
[ 0.39021355  1.07904177]
[ 0.39021355  1.07904177]
[ 0.51068366  1.02485339]
[ 0.51068366  1.02485339]
[ 0.48284949  1.29117062]
[ 0.48284949  1.29117062]
[ 0.58837769  1.23500537]
[ 0.87707672  1.15079106]
[ 0.87707672  1.15079106]
[ 0.96368799  1.09618567]
[ 0.96368799  1.09618567]
[ 1.06905883  1.11167202]
[ 1.06905883  1.11167202]
[ 1.06905883  1.11167202]
[ 1.01137156  1.06029608]
[ 1.01137156  1.06029608]
[ 1.08941559  0.95279645]
[ 1.19116326  0.83086735]
[ 1.19116326  0.83086735]
[ 1.19116326  0.83086735]
[ 1.10213301  0.88548124]
[ 1.10213301  0.88548124]
[ 1.26497507  0.69786133]
[ 1.26497507  0.69786133]
[ 1.20622269  0.70530681]
[ 1.05226781  0.61597742]
[ 1.05226781  0.61597742]
[ 0.90873704  0.51598976]
[ 0.90873704  0.51598976]
[ 0.80188068  0.42015484]
[ 0.80188068  0.42015484]
[ 0.80188068  0.42015484]
[ 1.10155102  0.60935617]
[ 1.10155102  0.60935617]
[ 0.47844362  0.55383868]
[ 0.47844362  0.55383868]
[ 0.80346135  0.10421318]
[ 0.10016324  0.09903205]
